icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid
,,41217,ABU DHABI INTERNATIONAL AIRPOR,,AE,24.4333,54.65,16,5,41217
,,40911,MAZAR-I-SHARIF,,AF,36.7,67.2,378,5,40911
,,40913,KUNDUZ,,AF,36.6667,68.9167,433,5,40913
,,40948,KABUL AIRPORT,,AF,34.55,69.2167,1791,5,40948
,,40990,KANDAHAR AIRPORT,,AF,31.5,65.85,1010,5,40990
,,60390,DAR-EL-BEIDA,,AG,36.6899,3.2166,25,5,60390
,,60549,MECHERIA,,AG,33.5458,-0.2353,1123,5,60549
,,60571,BECHAR,,AG,31.6543,-2.2524,808,5,60571
,,60630,IN-SALAH,,AG,27.2537,2.5116,268,5,60630
,,60656,TINDOUF,,AG,27.7041,-8.1692,443,5,60656
,,60680,TAMANRASSET,,AG,22.8253,5.4525,1372,5,60680
,,60686,BORDJ-BADJ-MOKHTAR,,AG,21.3761,0.932,395,5,60686
,,37789,YEREVAN AERO,,AM,40.2172,44.4997,1139,5,37789
,,66160,LUANDA,,AO,-8.8481,13.2353,70,5,66160
,,66285,LUENA,,AO,-11.7684,19.898,1356,5,66285
,,66390,LUBANGO SA DA BANDEIRA,,AO,-14.9287,13.5709,1760,5,66390
,,91765,PAGO PAGO/INT.AIRP. AMERICAN S,,AQ,-14.3383,-170.7191,5,5,91765
,,87047,SALTA AERO,,AR,-24.8443,-65.4758,1221,5,87047
,,87155,RESISTENCIA AERO,,AR,-27.4389,-59.046,53,5,87155
,,87244,VILLA DE MARIA DEL RIO SECO,,AR,-29.9058,-63.7276,341,5,87244
,,87344,CORDOBA AERO,,AR,-31.2966,-64.2119,493,5,87344
,,87418,MENDOZA AERO,,AR,-32.8438,-68.7963,705,5,87418
,,87576,EZEIZA AERO,,AR,-34.8186,-58.5423,20,5,87576
,,87582,AEROPARQUE AERO,,AR,-34.5589,-58.4198,6,5,87582
,,87585,BUENOS AIRES OBSERVATORIO,,AR,-34.5902,-58.484,25,5,87585
,,87623,SANTA ROSA AERO,,AR,-36.5931,-64.2799,190,5,87623
,,87715,NEUQUEN AERO,,AR,-38.952,-68.1367,270,5,87715
,,87860,COMODORO RIVADAVIA AERO,,AR,-45.7923,-67.4619,46,5,87860
,,94120,DARWIN AIRPORT,,AS,-12.4239,130.8925,31,5,94120
,,94155,EAST ARNHEM,,AS,-12.3845,136.7959,112,5,94155
,,94170,WEIPA AERO,,AS,-12.6778,141.9208,19,5,94170
,,94203,BROOME AIRPORT,,AS,-17.9475,122.2353,17,5,94203
,,94212,HALLS CREEK AIRPORT,,AS,-18.2292,127.6636,410,5,94212
,,94238,TENNANT CREEK AIRPORT,,AS,-19.6422,134.1833,376,5,94238
,,94287,CAIRNS AERO,,AS,-16.8736,145.7458,3,5,94287
,,94294,TOWNSVILLE AERO,,AS,-19.2483,146.7661,5,5,94294
,,94299,WILLIS ISLAND,,AS,-16.2833,149.965,9,5,94299
,,94300,CARNARVON AIRPORT,,AS,-24.8878,113.67,4,5,94300
,,94302,LEARMONTH AIRPORT,,AS,-22.2405,114.0967,6,5,94302
,,94312,PORT HEDLAND AIRPORT,,AS,-20.3725,118.6317,10,5,94312
,,94326,ALICE SPRINGS AIRPORT,,AS,-23.795,133.8889,545,5,94326
,,94332,MOUNT ISA AERO,,AS,-20.6778,139.4875,341,5,94332
,,94346,LONGREACH AERO,,AS,-23.4372,144.2769,191,5,94346
,,94367,MACKAY M.O,,AS,-21.1172,149.2169,30,5,94367
,,94374,ROCKHAMPTON AERO,,AS,-23.3753,150.4775,10,5,94374
,,94403,GERALDTON AIRPORT,,AS,-28.8044,114.6989,36,5,94403
,,94430,MEEKATHARRA AIRPORT,,AS,-26.6136,118.5372,522,5,94430
,,94461,GILES METEOROLOGICAL OFFICE,,AS,-25.0342,128.3011,580,5,94461
,,94510,CHARLEVILLE AERO,,AS,-26.4139,146.2558,305,5,94510
,,94578,BRISBANE AERO,,AS,-27.3917,153.1292,4,5,94578
,,94610,PERTH AIRPORT,,AS,-31.9275,115.9764,20,5,94610
,,94637,KALGOORLIE-BOULDER AIRPORT,,AS,-30.7847,121.4533,366,5,94637
,,94638,ESPERANCE,,AS,-33.83,121.8925,25,5,94638
,,94647,EUCLA,,AS,-31.6667,128.8667,101,5,94647
,,94653,CEDUNA AMO,,AS,-32.1297,133.6975,23,5,94653
,,94659,WOOMERA AERODROME,,AS,-31.1558,136.8053,167,5,94659
,,94672,ADELAIDE AIRPORT,,AS,-34.9525,138.5203,6,5,94672
,,94693,MILDURA AIRPORT,,AS,-34.2358,142.0867,50,5,94693
,,94711,COBAR MO,,AS,-31.4839,145.8294,260,5,94711
,,94750,NOWRA RAN AIR STATION AWS,,AS,-34.9469,150.5353,122,5,94750
,,94767,SYDNEY AIRPORT AMO,,AS,-33.9464,151.173,6,5,94767
,,94776,WILLIAMTOWN RAAF,,AS,-32.7933,151.8358,9,5,94776
,,94791,COFFS HARBOUR MO,,AS,-30.3108,153.1186,5,5,94791
,,94802,ALBANY AIRPORT,,AS,-34.9414,117.8022,71,5,94802
,,94821,MOUNT GAMBIER AERO,,AS,-37.7472,140.7739,64,5,94821
,,94866,MELBOURNE AIRPORT,,AS,-37.6656,144.8322,132,5,94866
,,94910,WAGGA WAGGA AMO,,AS,-35.1583,147.4572,220,5,94910
,,94975,HOBART AIRPORT WEST,,AS,-42.8339,147.5033,4,5,94975
,,94995,LORD HOWE ISLAND AERO,,AS,-31.5422,159.0786,5,5,94995
,,94998,MACQUARIE ISLAND,,AS,-54.4994,158.9369,6,5,94998
,,95527,MOREE AERO,,AS,-29.4897,149.8472,213,5,95527
,,94001,YEPPOON (BARMARYEE),,AT,-23.127,150.701,40,5,94001
,,94005,CLIFTON BEACH,,AT,-42.9677,147.5342,10,5,94005
,,94775,TOCAL AWS,,AT,-32.6297,151.5919,30,5,94775
,,95282,WOODSTOCK,,AT,-19.6337,146.8578,63,5,95282
,,95954,KENNAOOK / CAPE GRIM,,AT,-40.6792,144.6903,86,5,95954
,,11010,LINZ/HOERSCHING-FLUGHAFEN,,AU,48.2353,14.1881,298,5,11010
,,11035,WIEN/HOHE WARTE (11035-0),,AU,48.2486,16.3564,198,5,11035
,,11120,INNSBRUCK-FLUGHAFEN,,AU,47.2603,11.3439,581,5,11120
,,11240,GRAZ-THALERHOF-FLUGHAFEN,,AU,46.9806,15.44,340,5,11240
,,89002,GEORG VON NEUMAYER,,AY,-70.6667,-8.25,50,5,89002
,,89009,AMUNDSEN SCOTT,,AY,-90.0,0.0,2835,5,89009
,,89022,HALLEY,,AY,-75.445,-26.2181,30,5,89022
,,89055,BASE MARAMBIO,,AY,-64.2414,-56.625,208,5,89055
,,89056,CENTRO MET. ANTI RTICO PRESI,,AY,-62.1931,-58.9825,45,5,89056
,,89062,ROTHERA,,AY,-67.5703,-68.1236,33,5,89062
,,89063,VERNADSKY,,AY,-65.25,-64.2667,11,5,89063
,,89512,NOVOLAZAREVSKAJA,,AY,-70.7678,11.8317,118,5,89512
,,89532,SYOWA,,AY,-69.0053,39.5811,29,5,89532
,,89564,MAWSON,,AY,-67.6017,62.8753,9,5,89564
,,89571,DAVIS,,AY,-68.5744,77.9672,18,5,89571
,,89592,MIRNYJ (89592-0),,AY,-66.5519,93.0147,43,5,89592
,,89611,CASEY,,AY,-66.2825,110.523,40,5,89611
,,89625,CONCORDIA,,AY,-75.1017,123.4119,3233,5,89625
,,89642,DUMONT D'URVILLE,,AY,-66.663,140.0011,43,5,89642
,,89662,MARIO ZUCHELLI STATION,,AY,-74.6958,164.0922,92,5,89662
,,89664,MCMURDO,,AY,-77.85,166.6667,24,5,89664
,,89859,JANG BOGO,,AY,-74.6222,164.228,28,5,89859
,,78954,GRANTLEY ADAMS,,BB,13.0716,-59.4922,56,5,78954
,,68032,MAUN,,BC,-19.9833,23.4167,945,5,68032
,,68240,SERETSE KHAMA INTERNATIONAL AI,,BC,-24.55,25.9167,1005,5,68240
,,78016,L F WADE INTERNATIONAL AIRPORT,,BD,32.3669,-64.6772,4,5,78016
,,6447,UCCLE,,BE,50.7969,4.3581,99,5,6447
,,6458,BEAUVECHAIN,,BE,50.7456,4.7633,112,5,6458
,,78073,NASSAU AIRPORT NEW PROVIDENCE,,BF,25.05,-77.4667,7,5,78073
,,41859,RANGPUR,,BG,25.7333,89.2333,33,5,41859
,,41883,BOGRA,,BG,24.85,89.3667,18,5,41883
,,41891,SYLHET,,BG,24.9,91.8833,34,5,41891
,,41907,ISHWARDI,,BG,24.1333,89.05,13,5,41907
,,41923,DHAKA,,BG,23.7667,90.3833,8,5,41923
,,41936,JESSORE,,BG,23.1833,89.1667,6,5,41936
,,41943,FENI (41943-0),,BG,23.0333,91.4167,6,5,41943
,,41950,BARISAL,,BG,22.75,90.3667,3,5,41950
,,41977,CHITTAGONG (AMBAGAN),,BG,22.35,91.8167,33,5,41977
,,41992,COX'S BAZAR,,BG,21.4333,91.9333,2,5,41992
,,78583,BELIZE/PHILLIP GOLDSTON INTL.,,BH,17.5333,-88.3,5,5,78583
,,48042,MANDALAY,,BM,21.9421,96.0886,79,5,48042
,,48097,YANGON,,BM,16.8647,96.1536,20,5,48097
,,65306,KANDI,,BN,11.1333,2.9333,290,5,65306
,,65330,PARAKOU,,BN,9.35,2.6167,392,5,65330
,,65344,COTONOU,,BN,6.35,2.3833,5,5,65344
,,26850,MINSK,,BO,53.9286,27.6353,223,5,26850
,,33008,BREST (33008-0),,BO,52.1167,23.6858,145,5,33008
,,33041,GOMEL (33041-0),,BO,52.4019,30.9631,126,5,33041
,,91517,HONIARA,,BP,-9.4167,159.9667,55,5,91517
,,81729,MANACAPURU,,BR,-3.2947,-60.6283,36,5,81729
,,82022,BOA VISTA (AERO),,BR,2.849,-60.6943,83,5,82022
,,82026,TIRIOS (AERO),,BR,2.22,-55.93,325,5,82026
,,82099,MACAPA (AERO),,BR,0.05,-51.0667,16,5,82099
,,82107,SAO GABRIEL DA CACHOEIRA,,BR,-0.1167,-66.9667,79,5,82107
,,82193,BELEM (AERO),,BR,-1.3833,-48.4833,16,5,82193
,,82244,SANTAREM (AERO),,BR,-2.4333,-54.7167,72,5,82244
,,82281,SAO LUIS (AERO),,BR,-2.6,-44.2333,53,5,82281
,,82332,MANAUS (AERO),,BR,-3.15,-59.9833,84,5,82332
,,82397,FORTALEZA (82397-0),,BR,-3.7667,-38.6,26,5,82397
,,82400,FERNANDO DE NORONHA (AERO),,BR,-3.85,-32.4167,56,5,82400
,,82411,TABATINGA (AERO),,BR,-4.25,-69.9333,81,5,82411
